ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
5000,Bayu Nugroho,Industrial Engineering,2022,Operations Analyst,Shopee,"Simulation (Arena), System Modeling, Statistical Process Control",Supply Chain Network Design,"CSCP (Certified Supply Chain Professional), Ergonomics Assessment Specialist",pufa_engineering,seorang operations analyst lulusan industrial engineering dengan pengalaman di shopee dan sertifikasi cscp  certified supply chain professional   ergonomics assessment specialist
5001,Lina Sari,Industrial Engineering,2020,Quality Manager,Telkomsel,"System Modeling, Statistical Process Control, Logistics",Value Stream Mapping,"Lean Six Sigma Green Belt, CSCP (Certified Supply Chain Professional)",pumun,karir di bidang quality manager dengan latar belakang pendidikan industrial engineering dan aktif di pumun
5002,Agus Sari,Law,2019,Contract Manager,Telkomsel,"Compliance, Dispute Resolution, Corporate Governance",Merger & Acquisition Legal Review,Certified Information Privacy Professional (CIPP),puma_law | accounting_club | fpci,profesional law dengan spesialisasi compliance  dispute resolution  corporate governance dan pengalaman proyek merger   acquisition legal review
5003,Nisa Utama,Primary School Teacher Education,2016,School Counselor,Traveloka,"Teaching Methods, Lesson Planning, Pedagogy",School Anti-Bullying Program,"Child Protection Training, Special Education Needs (SEN) Training",puma_primary_school_teacher_education,profesional primary school teacher education dengan spesialisasi teaching methods  lesson planning  pedagogy dan pengalaman proyek school anti bullying program
5004,Yoga Anggraini,Civil Engineering,2018,Geotechnical Consultant,Telkomsel,"BIM (Revit), Project Management, AutoCAD Civil 3D",High-Rise Building Design,"LEED Green Associate, OSHA 30-Hour Construction",puma_civil_engineering,karir di bidang geotechnical consultant dengan latar belakang pendidikan civil engineering dan aktif di puma civil engineering
5005,Lina Wibowo,Civil Engineering,2018,Geotechnical Consultant,Mayora,"Estimation, BIM (Revit), AutoCAD Civil 3D",High-Rise Building Design,Revit Structure Fundamentals,pufa_engineering,profesional civil engineering dengan spesialisasi estimation  bim  revit   autocad civil 3d dan pengalaman proyek high rise building design
5006,Vina Firdaus,Environmental Engineering,2016,Waste Management Consultant,Traveloka,"EIA (Environmental Impact Assessment), GIS, Water Treatment",Carbon Footprint Analysis,"HSE Training Certificate, ISO 14001 Lead Auditor",puma_environmental_engineering | aiesec | debate_club,alumni jurusan environmental engineering berkarir sebagai waste management consultant di traveloka  ahli dalam eia  environmental impact assessment   gis  water treatment
5007,Joko Utama,Primary School Teacher Education,2018,Curriculum Developer,Schneider Electric,"Pedagogy, Child Psychology, Teaching Methods",Inclusive Classroom Setup,"TEFL/TESOL, Special Education Needs (SEN) Training",pudc | puma_primary_school_teacher_education,alumni jurusan primary school teacher education berkarir sebagai curriculum developer di schneider electric  ahli dalam pedagogy  child psychology  teaching methods
5008,Eko Anggraini,Primary School Teacher Education,2019,Curriculum Developer,Pertamina,"Pedagogy, Educational Leadership, Child Psychology",School Anti-Bullying Program,Google Certified Educator,pufa_social_science_and_education,profesional primary school teacher education dengan spesialisasi pedagogy  educational leadership  child psychology dan pengalaman proyek school anti bullying program
5009,Indah Mahendra,Accounting,2022,Tax Specialist,Deloitte,"Financial Reporting, IFRS, Cost Accounting",Internal Control Review,CPA (Certified Public Accountant),purtc,alumni jurusan accounting berkarir sebagai tax specialist di deloitte  ahli dalam financial reporting  ifrs  cost accounting
5010,Lina Pasaribu,Environmental Engineering,2021,Environmental Auditor,Bank Mandiri,"Compliance, Water Treatment, EIA (Environmental Impact Assessment)",Site Contamination Assessment,"HSE Training Certificate, ISO 14001 Lead Auditor",puma_environmental_engineering | accounting_club,alumni jurusan environmental engineering berkarir sebagai environmental auditor di bank mandiri  ahli dalam compliance  water treatment  eia  environmental impact assessment
5011,Joko Saputra,Industrial Engineering,2017,Quality Manager,Ruangguru,"Statistical Process Control, Six Sigma, Logistics",Workplace Ergonomics Audit,"CSCP (Certified Supply Chain Professional), Ergonomics Assessment Specialist",pufa_engineering | puma_industrial_engineering | aiesec,alumni jurusan industrial engineering berkarir sebagai quality manager di ruangguru  ahli dalam statistical process control  six sigma  logistics
5012,Galih Lestari,Communication,2018,Marketing Manager,Unilever,"Storytelling, Media Relations, Public Relations",Rebranding Campaign,"HubSpot Content Marketing, Google Ads Creative Certification",puma_communication | purtc,karir di bidang marketing manager dengan latar belakang pendidikan communication dan aktif di puma communication   purtc
5013,Eko Sari,Mechanical Engineering,2017,Design Engineer,Google Indonesia,"AutoCAD, Prototyping, Finite Element Analysis",Manufacturing Process Improvement,OSHA 30-Hour Training,puma_mechanical_engineering | purtc | pumun,profesional mechanical engineering dengan spesialisasi autocad  prototyping  finite element analysis dan pengalaman proyek manufacturing process improvement
5014,Yoga Mahendra,Financial Engineering,2021,Financial Modeler,Mayora,"Machine Learning, Data Science, Python",Portfolio Optimization Algorithm,"CQF (Quantitative Finance), Bloomberg Market Concepts",puma_financial_engineering | pusc,alumni jurusan financial engineering berkarir sebagai financial modeler di mayora  ahli dalam machine learning  data science  python
5015,Citra Ramadhan,Accounting,2021,Financial Controller,Telkomsel,"Data Analysis for Accounting, Financial Reporting, Cost Accounting",Cost Reduction Analysis,"QuickBooks ProAdvisor, Tax Brevet A & B",puma_accounting | pufa_business,alumni jurusan accounting berkarir sebagai financial controller di telkomsel  ahli dalam data analysis for accounting  financial reporting  cost accounting
5016,Dewi Suteja,Financial Engineering,2021,Algorithmic Developer,Tokopedia,"Data Science, C++, Financial Modeling",Portfolio Optimization Algorithm,"FRM (Financial Risk Manager), CQF (Quantitative Finance)",pumun,karir di bidang algorithmic developer dengan latar belakang pendidikan financial engineering dan aktif di pumun
5017,Putri Manullang,Applied Mathematics,2017,Quantitative Researcher,Telkomsel,"Python/R, Algorithm Development, Modeling",Predictive Maintenance Model,SAS Certified Specialist,pufa_computer_science | pudc,alumni jurusan applied mathematics berkarir sebagai quantitative researcher di telkomsel  ahli dalam python r  algorithm development  modeling
5018,Budi Nugroho,Primary School Teacher Education,2018,Primary School Teacher,Sekolah Pelita Harapan,"Pedagogy, Teaching Methods, Counseling",School Anti-Bullying Program,"Educational Leadership Certificate, Child Protection Training",pufa_social_science_and_education | pusc | puma_primary_school_teacher_education,seorang primary school teacher lulusan primary school teacher education dengan pengalaman di sekolah pelita harapan dan sertifikasi educational leadership certificate  child protection training
5019,Imam Manullang,Law,2017,Litigation Consultant,Mayora,"Legal Writing, Contract Drafting, Regulatory Analysis",IP Registration Strategy,"Legal Research & Writing Certificate, Certified Paralegal (CP)",pufa_social_science_and_education,profesional law dengan spesialisasi legal writing  contract drafting  regulatory analysis dan pengalaman proyek ip registration strategy
5020,Hani Nugroho,Mechanical Engineering,2021,Maintenance Engineer,Tokopedia,"AutoCAD, Prototyping, Supply Chain Optimization",Quality Assurance System,"SolidWorks Professional, Six Sigma Yellow Belt",puma_mechanical_engineering | accounting_club | moot_court,alumni jurusan mechanical engineering berkarir sebagai maintenance engineer di tokopedia  ahli dalam autocad  prototyping  supply chain optimization
